Model,Accuracy,F1,ECE
Logistic Regression,0.6781666666666667,0.46136680613668063,0.231593888765012
Local NN (Avg),0.5683666666666667,0.3035191459663477,0.355813349203517
FL-FedAvg (MLP),0.7938888888888889,0.22058823529411764,0.060704726237389775
FL-FedAvg (LSTM),0.7788888888888889,0.0,0.06048622381769948
Central NN,0.8163888888888889,0.4523612261806131,0.018794714038570727
