Model,Accuracy,F1,ECE
Logistic Regression,0.6753333333333333,0.45707915273132665,0.23570646869928102
Local NN (Avg),0.5662333333333333,0.2805002971691474,0.35286039498864363
FL-FedAvg (MLP),0.7938888888888889,0.20556745182012848,0.056408879581011005
FL-FedAvg (LSTM),0.7911111111111111,0.249500998003992,0.0715532351574964
Central NN,0.8127777777777778,0.38391224862888484,0.030200556663589343
