Model,Best_Accuracy_Method,Best_Accuracy_Value,Best_F1_Method,Best_F1_Value,Best_ECE_Method,Best_ECE_Value,Best_Brier_Method,Best_Brier_Value
FL-FedAvg (MLP),Platt,0.807222,Uncalibrated,0.515258,Beta,0.061868,Platt,0.145741
FL-FedAvg (LSTM),Platt,0.778889,Uncalibrated,0.492183,Beta,0.060100,Beta,0.150784
Central NN,Uncalibrated,0.814444,Uncalibrated,0.398198,Uncalibrated,0.039822,Uncalibrated,0.140209
