Model,Calibration,Accuracy,F1,ECE,Brier
FL-FedAvg (MLP),Uncalibrated,0.770556,0.515258,0.193483,0.181305
FL-FedAvg (MLP),Platt,0.807222,0.318271,0.061868,0.145741
FL-FedAvg (MLP),Temperature,0.770556,0.515258,0.190407,0.180358
FL-FedAvg (MLP),Beta,0.807222,0.318271,0.061868,0.145741
FL-FedAvg (LSTM),Uncalibrated,0.756389,0.492183,0.254267,0.212471
FL-FedAvg (LSTM),Platt,0.778889,0.000000,0.060100,0.150784
FL-FedAvg (LSTM),Temperature,0.756389,0.492183,0.252557,0.212110
FL-FedAvg (LSTM),Beta,0.778889,0.000000,0.060100,0.150784
Central NN,Uncalibrated,0.814444,0.398198,0.039822,0.140209
Central NN,Platt,0.808333,0.322200,0.113442,0.152738
Central NN,Temperature,0.814444,0.398198,0.050544,0.140981
Central NN,Beta,0.808333,0.322200,0.113442,0.152738
