Model,Accuracy,F1,ECE
Logistic Regression,0.6753333333333333,0.45707915273132665,0.23570646869928102
Local NN (Avg),0.5666333333333333,0.2800055975398396,0.3584999205273266
FL-FedAvg (MLP),0.8072222222222222,0.3182711198428291,0.061868271297878696
FL-FedAvg (LSTM),0.7788888888888889,0.0,0.06010026392009523
Central NN,0.8144444444444444,0.3981981981981982,0.039822103027254335
